o,p,c,counts.all_mostly_true_rep (s=0.5),counts.all_mostly_true_rep (s=0.25),counts.all_mostly_true_rep (s=0.0),counts.all_totally_true_rep (s=0.5),counts.all_totally_true_rep (s=0.25),counts.all_totally_true_rep (s=0.0),counts.inspecting_s0 (s=0.5),counts.inspecting_s0 (s=0.25),counts.inspecting_s0 (s=0.0),counts.inspecting_s1 (s=0.5),counts.inspecting_s1 (s=0.25),counts.inspecting_s1 (s=0.0),counts.self_deception_s0 (s=0.5),counts.self_deception_s0 (s=0.25),counts.self_deception_s0 (s=0.0),counts.self_deception_s1 (s=0.5),counts.self_deception_s1 (s=0.25),counts.self_deception_s1 (s=0.0),counts.conscious_deception_s1 (s=0.5),counts.conscious_deception_s1 (s=0.25),counts.conscious_deception_s1 (s=0.0),counts.conscious_deception_s1_a3_correct (s=0.5),counts.conscious_deception_s1_a3_correct (s=0.25),counts.conscious_deception_s1_a3_correct (s=0.0),counts.conscious_deception_s1_a3_correct_self (s=0.5),counts.conscious_deception_s1_a3_correct_self (s=0.25),counts.conscious_deception_s1_a3_correct_self (s=0.0),counts.whole_deception_s1 (s=0.5),counts.whole_deception_s1 (s=0.25),counts.whole_deception_s1 (s=0.0),counts.whole_deception_s1_a3 (s=0.5),counts.whole_deception_s1_a3 (s=0.25),counts.whole_deception_s1_a3 (s=0.0),counts.whole_deception_s1_fromConscious (s=0.5),counts.whole_deception_s1_fromConscious (s=0.25),counts.whole_deception_s1_fromConscious (s=0.0),counts.whole_deception_s1_fromSelf (s=0.5),counts.whole_deception_s1_fromSelf (s=0.25),counts.whole_deception_s1_fromSelf (s=0.0),counts.whole_deception_s1_fromBoth (s=0.5),counts.whole_deception_s1_fromBoth (s=0.25),counts.whole_deception_s1_fromBoth (s=0.0),counts.whole_deception_s1_fromNeither (s=0.5),counts.whole_deception_s1_fromNeither (s=0.25),counts.whole_deception_s1_fromNeither (s=0.0),counts.pct_inspecting_s0 (s=0.5),counts.pct_inspecting_s0 (s=0.25),counts.pct_inspecting_s0 (s=0.0),counts.pct_inspecting_s1 (s=0.5),counts.pct_inspecting_s1 (s=0.25),counts.pct_inspecting_s1 (s=0.0)
1.0,1.0,0.6,316,,,163,,,42,,,197,,,333,,,473,,,752,,,64,,,3,,,823,,,210,,,539,,,79,,,393,,,89,,,0.02353398820797973,,,0.011599644442643053,,
1.0,1.0,0.5,309,,,146,,,206,,,343,,,303,,,477,,,739,,,148,,,4,,,793,,,285,,,551,,,74,,,396,,,83,,,0.0726727092336496,,,0.05593057697603553,,
1.0,1.0,0.4,343,106,18,92,1,0,490,401,1000,574,326,168,322,387,832,551,736,831,774,743,759,322,199,97,12,7,1,815,817,830,446,244,118,560,375,108,97,67,53,460,626,738,101,92,85,0.13088239063187637,0.038886159448403256,0.25000000000000017,0.1362687772761995,0.019821968406772025,0.007525102814308644
1.0,1.0,0.3,327,74,19,35,0,0,737,683,1000,770,628,510,355,378,811,611,693,811,816,805,752,469,351,206,16,8,6,852,866,819,549,398,253,523,471,181,101,81,77,530,617,701,96,101,90,0.19831964672824312,0.07563734109058122,0.25000000000000017,0.23819263169217061,0.051517521838757734,0.02050766423183516
1.0,1.0,0.2,353,56,11,7,0,0,841,813,1000,860,825,714,306,359,751,635,666,750,879,888,820,644,529,355,11,10,6,904,924,879,683,574,412,507,538,284,161,105,91,584,618,697,94,70,88,0.3055279505343622,0.1432006181386704,0.25000000000000017,0.3604440064290618,0.1279071192863398,0.06288199301446867
1.0,1.0,0.1,375,31,5,5,0,0,896,895,1000,909,899,846,276,277,637,607,519,636,931,920,868,772,679,559,17,8,8,947,945,920,814,712,603,508,680,455,192,109,104,630,492,597,95,77,96,0.42131327538647345,0.19311397696235652,0.25000000000000017,0.5143100327184672,0.2632859556063287,0.17083045759275736
1.0,1.0,0.0,381,20,4,0,0,0,929,918,1000,930,922,872,242,222,530,581,448,529,936,910,910,847,756,681,19,5,6,954,949,949,871,800,709,492,701,574,182,95,85,647,436,511,85,96,82,0.517993316287292,0.2692742982914709,0.25000000000000017,0.6509649760754954,0.41773368359139246,0.3347715594959239
1.0,0.9,0.6,289,,,152,,,23,,,149,,,306,,,458,,,762,,,50,,,3,,,816,,,190,,,569,,,79,,,395,,,78,,,0.004539561125496326,,,0.006894382429111117,,
1.0,0.9,0.5,284,,,133,,,125,,,315,,,330,,,499,,,740,,,152,,,5,,,802,,,274,,,523,,,91,,,420,,,87,,,0.042554383412797596,,,0.036522521432614155,,
1.0,0.9,0.4,306,112,32,112,0,0,364,321,1000,474,277,125,331,381,815,538,741,815,768,728,724,255,191,75,17,5,4,813,799,815,393,228,106,580,365,87,91,81,64,465,619,710,93,87,102,0.0862531924858216,0.039086507277113804,0.25000000000000017,0.10922347853620627,0.017697596388552245,0.005375401369692699
